year,player,pos,pos_pts,tot_pts
2014,Andre Drummond,center,1,1
2014,Andre Iguodala,forward,76,148
2014,Andrew Bogut,center,4,4
2014,Anthony Davis,forward,54,62
2014,Arron Afflalo,guard,1,1
2014,Avery Bradley,guard,5,5
2014,Chris Bosh,forward,4,4
2014,Chris Paul,guard,156,156
2014,Corey Brewer,forward,1,1
2014,Danny Granger,forward,1,1
2014,Danny Green,guard,3,3
2014,Darren Collison,guard,1,1
2014,David Lee,forward,1,1
2014,David West,forward,2,2
2014,DeAndre Jordan,center,63,63
2014,DeMar DeRozan,guard,1,1
2014,DeMarre Carroll,forward,2,2
2014,Draymond Green,forward,1,1
2014,Dwight Howard,center,18,26
2014,Dwyane Wade,guard,2,2
2014,Eric Bledsoe,guard,9,9
2014,George Hill,guard,2,2
2014,James Harden,guard,2,2
2014,Jeff Teague,guard,2,2
2014,Jimmy Butler,guard,99,103
2014,Joakim Noah,center,184,223
2014,John Wall,guard,8,8
2014,Kawhi Leonard,forward,66,89
2014,Kemba Walker,guard,2,2
2014,Kevin Durant,forward,9,10
2014,Kirk Hinrich,guard,7,7
2014,Klay Thompson,guard,5,5
2014,Kyle Lowry,guard,10,10
2014,Lance Stephenson,guard,13,14
2014,LeBron James,forward,128,134
2014,Luol Deng,forward,4,4
2014,Marc Gasol,center,8,8
2014,Matt Barnes,guard,2,2
2014,Michael Carter-Williams,guard,1,1
2014,Michael Kidd-Gilchrist,forward,3,3
2014,Mike Conley,guard,21,21
2014,Monta Ellis,guard,1,1
2014,Nicolas Batum,forward,2,3
2014,P.J. Tucker,forward,7,13
2014,Patrick Beverley,guard,110,112
2014,Paul George,forward,106,161
2014,Paul Millsap,forward,1,1
2014,Rajon Rondo,guard,1,1
2014,Reggie Jackson,guard,1,1
2014,Ricky Rubio,guard,19,19
2014,Roy Hibbert,center,76,76
2014,Russell Westbrook,guard,5,5
2014,Serge Ibaka,forward,148,152
2014,Shaun Livingston,guard,3,3
2014,Stephen Curry,guard,3,3
2014,Taj Gibson,forward,21,21
2014,Thabo Sefolosha,guard,8,8
2014,Tim Duncan,forward,42,45
2014,Tony Allen,guard,60,60
2014,Tony Parker,guard,4,4
2014,Trevor Ariza,forward,5,5
2014,Victor Oladipo,guard,3,3
2014,Wesley Matthews,guard,4,4
2015,Al Horford,forward,1,1
2015,Andre Drummond,center,1,1
2015,Andre Iguodala,forward,5,8
2015,Andrew Bogut,center,102,102
2015,Anthony Davis,forward,144,155
2015,Avery Bradley,guard,26,26
2015,Blake Griffin,forward,1,1
2015,Chris Paul,guard,170,170
2015,Danny - SA Green,forward,1,1
2015,Danny Green,guard,17,17
2015,DeAndre Jordan,center,187,187
2015,DeMarcus Cousins,center,1,1
2015,DeMarre Carroll,forward,9,11
2015,Draymond Green,forward,223,229
2015,Dwyane Wade,guard,1,1
2015,Elfrid Payton,guard,1,1
2015,Eric Bledsoe,guard,1,1
2015,George - IND Hill,guard,1,1
2015,Giannis - Mil Antetokounmpo,forward,1,1
2015,Giannis Antetokounmpo,forward,1,2
2015,Giannis Antetokounmpo,guard,1,2
2015,Hassan Whiteside,center,2,2
2015,Iman Shumpert,guard,1,1
2015,James Harden,guard,2,2
2015,Jeff Teague,guard,7,7
2015,Jimmy Butler,guard,126,132
2015,Joakim Noah,forward,4,6
2015,John Wall,guard,67,67
2015,Kawhi Leonard,forward,200,242
2015,Khris Middleton,guard,7,9
2015,Klay Thompson,guard,19,19
2015,LeBron James,forward,46,47
2015,Manu Ginobili,guard,1,1
2015,Marc Gasol,center,18,18
2015,Marcus Smart,guard,2,2
2015,Michael Kidd-Gilchrist,forward,17,21
2015,Mike Conley,guard,6,6
2015,Nerlens Noel,forward,5,5
2015,P.J. Tucker,guard,3,4
2015,Patrick Beverley,guard,10,10
2015,Pau Gasol,forward,2,3
2015,Paul Millsap,forward,8,8
2015,Rajon Rondo,guard,1,1
2015,Rudy Gobert,center,54,54
2015,Russell Westbrook,guard,35,35
2015,Serge Ibaka,forward,8,8
2015,Stephen Curry,guard,14,14
2015,Tim Duncan,forward,56,64
2015,Tony Allen,guard,193,207
2015,Trevor Ariza,forward,17,17
2015,Victor Oladipo,guard,1,1
2015,Wesley Matthews,guard,3,3
2015,Zach Randolph,forward,1,1
2015,Zaza Pachulia,forward,1,1
2016,Al Horford,center,6,7
2016,Andre Drummond,center,14,14
2016,Andre Iguodala,guard,8,13
2016,Andre Roberson,guard,1,1
2016,Andrew Bogut,center,3,3
2016,Anthony Davis,forward,20,24
2016,Avery Bradley,guard,149,149
2016,Bismack Biyombo,forward,1,1
2016,Chris Paul,guard,148,148
2016,Danny Green,guard,39,39
2016,DeAndre Jordan,center,137,137
2016,DeMarcus Cousins,center,3,3
2016,Derrick Favors,forward,1,1
2016,Draymond Green,forward,237,251
2016,Dwyane Wade,guard,1,1
2016,George Hill,guard,1,1
2016,Giannis Antetokounmpo,forward,3,3
2016,Harrison Barnes,forward,1,1
2016,Hassan Whiteside,center,126,126
2016,Jae Crowder,forward,38,47
2016,Jimmy Butler,guard,58,62
2016,John Wall,guard,6,6
2016,Kawhi Leonard,forward,248,260
2016,Kent Bazemore,guard,3,3
2016,Kentavious Caldwell-Pope,guard,26,27
2016,Kevin Durant,forward,1,1
2016,Klay Thompson,guard,48,49
2016,Kristaps Porzingis,forward,1,1
2016,Kyle Lowry,guard,43,43
2016,LaMarcus Aldridge,forward,1,1
2016,LeBron James,forward,38,43
2016,Luc Mbah a Moute,forward,1,1
2016,Marcus Smart,guard,7,7
2016,Mike Conley,guard,1,1
2016,Mike Scott,forward,1,1
2016,Nicolas Batum,forward,1,2
2016,Nicolas Batum,guard,1,2
2016,Patrick Beverley,guard,11,11
2016,Paul George,forward,40,48
2016,Paul Millsap,forward,97,97
2016,Ricky Rubio,guard,30,30
2016,Rudy Gobert,center,64,64
2016,Russell Westbrook,guard,35,35
2016,Serge Ibaka,forward,14,14
2016,Stephen Curry,guard,13,13
2016,Tim Duncan,center,19,33
2016,Tony Allen,guard,114,121
2016,Trevor Ariza,forward,3,3
2016,Victor Oladipo,guard,2,2
2016,Wesley Matthews,guard,1,1
2017,Al-Farouq Aminu,forward,1,1
2017,Andre Iguodala,forward,3,3
2017,Andre Roberson,forward,53,53
2017,Anthony Davis,center,34,58
2017,Austin Rivers,guard,1,1
2017,Avery Bradley,guard,46,46
2017,Chris Paul,guard,140,140
2017,Cody Zeller,center,1,1
2017,Damian Lillard,guard,1,1
2017,Danny Green,guard,68,68
2017,DeAndre Jordan,center,35,35
2017,Draymond Green,forward,198,198
2017,Dwight Howard,center,6,6
2017,Eric Gordon,guard,2,2
2017,George Hill,guard,1,1
2017,Giannis Antetokounmpo,forward,19,35
2017,Hassan Whiteside,center,25,25
2017,Isaiah Thomas,guard,1,1
2017,Jae Crowder,forward,5,5
2017,Jimmy Butler,forward,18,18
2017,John Wall,guard,38,38
2017,Jrue Holiday,guard,5,5
2017,Karl-Anthony Towns,forward,2,2
2017,Kawhi Leonard,forward,192,192
2017,Kentavious Caldwell-Pope,guard,1,1
2017,Kevin Durant,forward,6,6
2017,Klay Thompson,guard,45,45
2017,LaMarcus Aldridge,forward,1,1
2017,LeBron James,forward,12,12
2017,Luc Mbah a Moute,forward,1,1
2017,Marc Gasol,center,2,2
2017,Marcus Smart,guard,21,21
2017,Michael Kidd-Gilchrist,forward,3,3
2017,Mike Conley,guard,5,5
2017,Nicolas Batum,guard,2,2
2017,Patrick Beverley,guard,110,110
2017,Paul George,forward,7,7
2017,Paul Millsap,forward,35,35
2017,PJ Tucker,forward,3,3
2017,Ricky Rubio,guard,3,3
2017,Robert Covington,forward,11,11
2017,Rudy Gobert,center,196,196
2017,Russell Westbrook,guard,10,10
2017,Serge Ibaka,forward,1,1
2017,Stephen Curry,guard,3,3
2017,Steven Adams,center,1,1
2017,Tony Allen,guard,77,80
2017,Trevor Ariza,forward,2,2
2017,Wesley Matthews,guard,4,4
2018,Al Horford,forward,81,85
2018,Al‐Farouq Aminu,forward,2,2
2018,Andre Drummond,center,3,3
2018,Andre Roberson,guard,17,17
2018,Anthony Davis,forward,156,163
2018,Avery Bradley,guard,2,2
2018,Ben Simmons,guard,16,16
2018,Chris Paul,guard,74,74
2018,Damian Lillard,guard,1,1
2018,Danny Green,guard,6,6
2018,DeAndre Jordan,center,1,1
2018,Dejounte Murray,guard,80,80
2018,Derrick Favors,center,1,1
2018,Donovan Mitchell,guard,1,1
2018,Draymond Green,forward,86,86
2018,Ed Davis,center,1,1
2018,Eric Bledsoe,guard,1,1
2018,Fred VanVleet,guard,1,1
2018,Gary Harris,guard,3,3
2018,Giannis Antetokounmpo,forward,43,43
2018,Jaylen Brown,guard,10,16
2018,Jimmy Butler,guard,64,79
2018,Joel Embiid,center,90,90
2018,Josh Richardson,guard,22,22
2018,Jrue Holiday,guard,105,105
2018,Kevin Durant,forward,31,31
2018,Klay Thompson,guard,24,24
2018,Kyle Lowry,guard,7,7
2018,LaMarcus Aldridge,forward,2,2
2018,LeBron James,forward,1,1
2018,Luc Mbah a Moute,forward,5,5
2018,Marcus Smart,guard,18,18
2018,Paul George,forward,69,69
2018,PJ Tucker,forward,13,13
2018,Ricky Rubio,guard,4,4
2018,Robert Covington,forward,90,90
2018,Rudy Gobert,center,192,192
2018,Russell Westbrook,guard,7,7
2018,Steven Adams,center,1,1
2018,Victor Oladipo,guard,136,136
2018,Will Barton,guard,1,1
2019,Al Horford,forward,4,4
2019,Andre Drummond,center,1,1
2019,Andre Iguodala,guard,1,1
2019,Anthony Davis,forward,2,2
2019,Bam Adebayo,center,1,1
2019,Ben Simmons,guard,2,2
2019,Bradley Beal,guard,1,1
2019,Brook Lopez,center,1,1
2019,Chris Paul,guard,7,7
2019,Damian Lillard,guard,1,1
2019,Danny Green,guard,65,66
2019,De'Aaron Fox,guard,1,1
2019,Derrick Favors,forward,2,2
2019,Derrick White,guard,15,15
2019,Donovan Mitchell,guard,2,2
2019,Draymond Green,forward,61,61
2019,Ed Davis,forward,1,1
2019,Eric Bledsoe,guard,100,100
2019,Gary Harris,guard,1,1
2019,Giannis Antetokounmpo,forward,193,193
2019,James Harden,guard,4,4
2019,Jaylen Brown,guard,1,1
2019,Jimmy Butler,guard,7,9
2019,Joe Ingles,forward,2,2
2019,Joel Embiid,center,75,80
2019,Jordan Bell,forward,1,1
2019,Josh Richardson,guard,3,3
2019,Jrue Holiday,guard,90,90
2019,Kawhi Leonard,forward,39,39
2019,Kevin Durant,forward,4,4
2019,Khris Middleton,forward,1,1
2019,Klay Thompson,guard,82,82
2019,Kyle Anderson,forward,1,1
2019,Kyle Lowry,guard,3,3
2019,Kyrie Irving,guard,1,1
2019,Malcolm Brogdon,guard,3,3
2019,Marcus Smart,guard,145,145
2019,Mike Conley,guard,1,1
2019,Myles Turner,center,25,39
2019,Nikola Jokic,center,1,1
2019,Pascal Siakam,forward,24,24
2019,Patrick Beverley,guard,48,48
2019,Paul George,forward,195,195
2019,Paul Millsap,forward,5,5
2019,PJ Tucker,forward,38,38
2019,Ricky Rubio,guard,1,1
2019,Robert Covington,forward,3,5
2019,Rudy Gobert,center,196,196
2019,Russell Westbrook,guard,9,9
2019,Shai Gilgeous‐Alexander,guard,1,1
2019,Stephen Curry,guard,2,2
2019,Terrance Ferguson,guard,1,1
2019,Thaddeus Young,forward,2,2
2020,Andre Drummond,center,2,2
2020,Anthony Davis,forward,176,187
2020,Aron Baynes,forward,1,1
2020,Avery Bradley,guard,1,1
2020,Bam Adebayo,forward,38,61
2020,Ben Simmons,guard,178,185
2020,Brook Lopez,center,67,67
2020,Chris Paul,guard,13,13
2020,Damian Lillard,guard,1,1
2020,Dejounte Murray,guard,2,2
2020,Donte DiVincenzo,guard,2,2
2020,Eric Bledsoe,guard,59,59
2020,Fred VanVleet,guard,2,2
2020,Giannis Antetokounmpo,forward,195,195
2020,Hassan Whiteside,center,2,2
2020,James Harden,guard,2,2
2020,Jarrett Allen,center,1,1
2020,Jaylen Brown,forward,1,2
2020,Jaylen Brown,guard,1,2
2020,Jayson Tatum,forward,19,20
2020,Jimmy Butler,forward,18,28
2020,Joel Embiid,center,11,11
2020,Jonathan Isaac,forward,1,1
2020,Jrue Holiday,guard,18,18
2020,Kawhi Leonard,forward,91,128
2020,Khris Middleton,guard,1,1
2020,Kris Dunn,guard,31,31
2020,Kristaps Porzingis,forward,1,1
2020,Kyle Lowry,guard,23,23
2020,LeBron James,forward,6,7
2020,Luka Doncic,guard,2,2
2020,Marcus Smart,guard,152,152
2020,Matisse Thybulle,forward,1,1
2020,Myles Turner,forward,3,5
2020,OG Anunoby,forward,2,2
2020,P.J. Tucker,forward,29,29
2020,Pascal Siakam,forward,10,10
2020,Patrick Beverley,guard,60,60
2020,Paul George,guard,2,3
2020,Rudy Gobert,center,180,180
2020,Russell Westbrook,guard,1,1
2020,Steven Adams,center,1,1
2021,Alex Caruso,guard,5,5
2021,Andrew Wiggins,forward,1,1
2021,Anthony Davis,forward,2,2
2021,Bam Adebayo,forward,107,111
2021,Ben Simmons,guard,188,200
2021,Chris Paul,guard,14,14
2021,Christian Wood,forward,1,1
2021,Clint Capela,center,42,42
2021,Daniel Theis,forward,1,1
2021,Danny Green,guard,3,3
2021,Dejounte Murray,guard,5,5
2021,Dennis Schroder,guard,4,4
2021,Dillon Brooks,guard,3,3
2021,Donovan Mitchell,guard,1,1
2021,Draymond Green,forward,176,176
2021,Fred VanVleet,guard,3,3
2021,Giannis Antetokounmpo,forward,135,135
2021,Jae Crowder,forward,1,1
2021,Jaylen Brown,guard,2,2
2021,Jimmy Butler,guard,74,111
2021,Joel Embiid,center,47,81
2021,Jrue Holiday,guard,157,157
2021,Julius Randle,forward,4,4
2021,Kawhi Leonard,forward,34,43
2021,Kentavious Caldwell-Pope,guard,4,4
2021,Luguentz Dort,guard,15,17
2021,Marcus Smart,guard,22,22
2021,Matisse Thybulle,guard,50,63
2021,Mikal Bridges,guard,25,39
2021,Mike Conley,guard,2,2
2021,Myles Turner,forward,18,24
2021,Nerlens Noel,center,1,1
2021,OG Anunoby,forward,3,3
2021,Paul George,guard,9,11
2021,Robert Covington,forward,1,1
2021,Royce O'Neale,forward,2,2
2021,Rudy Gobert,center,200,200
2021,Russell Westbrook,guard,1,1
2021,T.J. McConnell,guard,4,4
